year,period_end_date,is_partial_year,object_class,appeared_count,ended_count,present_any_time_count,present_at_period_end_count
1991,1991-12-31,0,all,940,572,8813,8241
1991,1991-12-31,0,payload,178,107,2027,1920
1991,1991-12-31,0,rocket_body,99,69,1119,1050
1991,1991-12-31,0,component,211,171,1062,891
1991,1991-12-31,0,debris,451,224,4604,4380
1991,1991-12-31,0,unknown,0,0,0,0
1991,1991-12-31,0,spurious,1,1,1,0
1992,1992-12-31,0,all,766,370,9007,8637
1992,1992-12-31,0,payload,136,95,2056,1961
1992,1992-12-31,0,rocket_body,113,67,1163,1096
1992,1992-12-31,0,component,137,113,1028,915
1992,1992-12-31,0,debris,380,95,4760,4665
1992,1992-12-31,0,unknown,0,0,0,0
1992,1992-12-31,0,spurious,0,0,0,0
1993,1993-12-31,0,all,579,235,9216,8981
1993,1993-12-31,0,payload,112,51,2073,2022
1993,1993-12-31,0,rocket_body,89,48,1185,1137
1993,1993-12-31,0,component,119,87,1034,947
1993,1993-12-31,0,debris,259,49,4924,4875
1993,1993-12-31,0,unknown,0,0,0,0
1993,1993-12-31,0,spurious,0,0,0,0
1994,1994-12-31,0,all,457,192,9438,9246
1994,1994-12-31,0,payload,124,37,2146,2109
1994,1994-12-31,0,rocket_body,101,53,1238,1185
1994,1994-12-31,0,component,101,71,1048,977
1994,1994-12-31,0,debris,131,31,5006,4975
1994,1994-12-31,0,unknown,0,0,0,0
1994,1994-12-31,0,spurious,0,0,0,0
1995,1995-12-31,0,all,281,188,9527,9339
1995,1995-12-31,0,payload,101,45,2210,2165
1995,1995-12-31,0,rocket_body,76,43,1261,1218
1995,1995-12-31,0,component,90,59,1067,1008
1995,1995-12-31,0,debris,14,41,4989,4948
1995,1995-12-31,0,unknown,0,0,0,0
1995,1995-12-31,0,spurious,0,0,0,0
1996,1996-12-31,0,all,1115,258,10454,10196
1996,1996-12-31,0,payload,98,35,2263,2228
1996,1996-12-31,0,rocket_body,83,45,1301,1256
1996,1996-12-31,0,component,112,63,1120,1057
1996,1996-12-31,0,debris,822,115,5770,5655
1996,1996-12-31,0,unknown,0,0,0,0
1996,1996-12-31,0,spurious,0,0,0,0
1997,1997-12-31,0,all,371,435,10567,10132
1997,1997-12-31,0,payload,156,45,2384,2339
1997,1997-12-31,0,rocket_body,89,48,1345,1297
1997,1997-12-31,0,component,76,91,1133,1042
1997,1997-12-31,0,debris,48,249,5703,5454
1997,1997-12-31,0,unknown,0,0,0,0
1997,1997-12-31,0,spurious,2,2,2,0
1998,1998-12-31,0,all,528,412,10660,10248
1998,1998-12-31,0,payload,157,44,2496,2452
1998,1998-12-31,0,rocket_body,83,67,1380,1313
1998,1998-12-31,0,component,91,101,1133,1032
1998,1998-12-31,0,debris,196,199,5650,5451
1998,1998-12-31,0,unknown,0,0,0,0
1998,1998-12-31,0,spurious,1,1,1,0
1999,1999-12-31,0,all,423,456,10671,10215
1999,1999-12-31,0,payload,128,44,2580,2536
1999,1999-12-31,0,rocket_body,91,77,1404,1327
1999,1999-12-31,0,component,63,77,1095,1018
1999,1999-12-31,0,debris,141,258,5592,5334
1999,1999-12-31,0,unknown,0,0,0,0
1999,1999-12-31,0,spurious,0,0,0,0
2000,2000-12-31,0,all,634,420,10849,10429
2000,2000-12-31,0,payload,130,59,2666,2607
2000,2000-12-31,0,rocket_body,92,79,1419,1340
2000,2000-12-31,0,component,60,64,1078,1014
2000,2000-12-31,0,debris,352,218,5686,5468
2000,2000-12-31,0,unknown,0,0,0,0
2000,2000-12-31,0,spurious,0,0,0,0
2001,2001-12-31,0,all,701,493,11130,10637
2001,2001-12-31,0,payload,86,125,2693,2568
2001,2001-12-31,0,rocket_body,65,66,1405,1339
2001,2001-12-31,0,component,45,73,1059,986
2001,2001-12-31,0,debris,505,229,5973,5744
2001,2001-12-31,0,unknown,0,0,0,0
2001,2001-12-31,0,spurious,0,0,0,0
2002,2002-12-31,0,all,241,522,10878,10356
2002,2002-12-31,0,payload,89,48,2657,2609
2002,2002-12-31,0,rocket_body,63,65,1402,1337
2002,2002-12-31,0,component,57,57,1043,986
2002,2002-12-31,0,debris,32,352,5776,5424
2002,2002-12-31,0,unknown,0,0,0,0
2002,2002-12-31,0,spurious,0,0,0,0
2003,2003-12-31,0,all,430,320,10786,10466
2003,2003-12-31,0,payload,90,38,2699,2661
2003,2003-12-31,0,rocket_body,71,46,1408,1362
2003,2003-12-31,0,component,53,30,1039,1009
2003,2003-12-31,0,debris,216,206,5640,5434
2003,2003-12-31,0,unknown,0,0,0,0
2003,2003-12-31,0,spurious,0,0,0,0
2004,2004-12-31,0,all,440,207,10906,10699
2004,2004-12-31,0,payload,72,23,2733,2710
2004,2004-12-31,0,rocket_body,64,49,1426,1377
2004,2004-12-31,0,component,73,40,1082,1042
2004,2004-12-31,0,debris,231,95,5665,5570
2004,2004-12-31,0,unknown,0,0,0,0
2004,2004-12-31,0,spurious,0,0,0,0
2005,2005-12-31,0,all,347,229,11046,10817
2005,2005-12-31,0,payload,71,30,2781,2751
2005,2005-12-31,0,rocket_body,55,40,1432,1392
2005,2005-12-31,0,component,59,43,1101,1058
2005,2005-12-31,0,debris,162,116,5732,5616
2005,2005-12-31,0,unknown,0,0,0,0
2005,2005-12-31,0,spurious,0,0,0,0
2006,2006-12-31,0,all,624,299,11441,11142
2006,2006-12-31,0,payload,93,40,2844,2804
2006,2006-12-31,0,rocket_body,65,33,1457,1424
2006,2006-12-31,0,component,69,37,1127,1090
2006,2006-12-31,0,debris,397,189,6013,5824
2006,2006-12-31,0,unknown,0,0,0,0
2006,2006-12-31,0,spurious,0,0,0,0
2007,2007-12-31,0,all,4088,229,15230,15001
2007,2007-12-31,0,payload,110,47,2914,2867
2007,2007-12-31,0,rocket_body,69,38,1493,1455
2007,2007-12-31,0,component,63,34,1153,1119
2007,2007-12-31,0,debris,3846,110,9670,9560
2007,2007-12-31,0,unknown,0,0,0,0
2007,2007-12-31,0,spurious,0,0,0,0
2008,2008-12-31,0,all,1008,758,16009,15251
2008,2008-12-31,0,payload,101,30,2968,2938
2008,2008-12-31,0,rocket_body,67,33,1522,1489
2008,2008-12-31,0,component,74,32,1193,1161
2008,2008-12-31,0,debris,766,663,10326,9663
2008,2008-12-31,0,unknown,0,0,0,0
2008,2008-12-31,0,spurious,0,0,0,0
2009,2009-12-31,0,all,2750,338,18001,17663
2009,2009-12-31,0,payload,123,49,3061,3012
2009,2009-12-31,0,rocket_body,75,40,1564,1524
2009,2009-12-31,0,component,69,25,1230,1205
2009,2009-12-31,0,debris,2483,224,12146,11922
2009,2009-12-31,0,unknown,0,0,0,0
2009,2009-12-31,0,spurious,0,0,0,0
2010,2010-12-31,0,all,561,403,18224,17821
2010,2010-12-31,0,payload,118,47,3130,3083
2010,2010-12-31,0,rocket_body,66,31,1590,1559
2010,2010-12-31,0,component,74,33,1279,1246
2010,2010-12-31,0,debris,303,292,12225,11933
2010,2010-12-31,0,unknown,0,0,0,0
2010,2010-12-31,0,spurious,0,0,0,0
2011,2011-12-31,0,all,351,524,18172,17648
2011,2011-12-31,0,payload,128,55,3211,3156
2011,2011-12-31,0,rocket_body,73,47,1632,1585
2011,2011-12-31,0,component,88,43,1334,1291
2011,2011-12-31,0,debris,62,379,11995,11616
2011,2011-12-31,0,unknown,0,0,0,0
2011,2011-12-31,0,spurious,0,0,0,0
2012,2012-12-31,0,all,497,497,18145,17648
2012,2012-12-31,0,payload,135,52,3291,3239
2012,2012-12-31,0,rocket_body,69,44,1654,1610
2012,2012-12-31,0,component,70,48,1361,1313
2012,2012-12-31,0,debris,223,353,11839,11486
2012,2012-12-31,0,unknown,0,0,0,0
2012,2012-12-31,0,spurious,0,0,0,0
2013,2013-12-31,0,all,436,477,18084,17607
2013,2013-12-31,0,payload,208,44,3447,3403
2013,2013-12-31,0,rocket_body,71,44,1681,1637
2013,2013-12-31,0,component,72,47,1385,1338
2013,2013-12-31,0,debris,85,342,11571,11229
2013,2013-12-31,0,unknown,0,0,0,0
2013,2013-12-31,0,spurious,0,0,0,0
2014,2014-12-31,0,all,577,706,18184,17478
2014,2014-12-31,0,payload,240,110,3643,3533
2014,2014-12-31,0,rocket_body,79,51,1716,1665
2014,2014-12-31,0,component,63,47,1401,1354
2014,2014-12-31,0,debris,195,498,11424,10926
2014,2014-12-31,0,unknown,0,0,0,0
2014,2014-12-31,0,spurious,0,0,0,0
2015,2015-12-31,0,all,1099,497,18577,18080
2015,2015-12-31,0,payload,227,87,3760,3673
2015,2015-12-31,0,rocket_body,77,40,1742,1702
